parent_category,child_category,new,model_code,thickness,width,length
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,5847 SL,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,5891 SL,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,5845 SL,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,5846 SL,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,3852 SL,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,3853 SL,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,5848 SL,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,5837 SL,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,5836 SL,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,3836 SL,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,5881 SL,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,3245 SO,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,163 SO,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,172 SO,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,153 SO,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,111 SO,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,3846 SO,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,293 SO,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,3961 SO,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,224 SO,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,3142 GC,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,3284 GC,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,3285 GC,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,111 GC,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,3238 GC,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,168 GC,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,131 GC,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,293 GC,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,3171 GC,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,3142 RA,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,3245 RA,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,3246 RA,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,153 RA,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,158 RA,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,3238 RA,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,293 RA,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,161 RA,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,168 RA,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,3853 LV,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,3854 LV,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,3852 LV,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,94846 LV,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,3246 LV,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,3245 LV,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,152 LV,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,111 LV,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,293 LV,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,168 LV,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,4517 LV,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,4516 LV,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,2593 NP,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,2592 NP,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,2594 NP,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,2595 NP,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,2591 NP,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,2416 NP,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,2417 NP,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,2388 NP,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,2386 NP,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,3142 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,152 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,153 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,3246 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,3245 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,255 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,3252 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,131 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,3238 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,3171 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,168 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,3285 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,3284 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,3282 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,3272 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,269 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,263 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,5845 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,5891 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,5836 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,5837 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,5848 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,5846 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,5847 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,5881 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,3922 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,4913 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,3917 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,3918 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,3928 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,4911 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,3919 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,4912 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,4942 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,3963 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,4941 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,4943 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,3929 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,3961 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,3962 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,3921 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,3965 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,3964 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,5931 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,3966 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,5932 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,704 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,787 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,788 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,639 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,462 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,774 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,Y,5933 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,689 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,464 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,541 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,4389 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,241 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,259 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,3244 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,249 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,151 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,90155 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,194 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,181 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,159 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,261 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,267 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,266 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,3271 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,275 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,288 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,206 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,212 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,174 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,171 LU,1.00mm,1220mm,2440mm
w87e7n6je0nyro0vnq3hn92n,vrurel0uce9n73vp0l7q32y4,,163 LU,1.00mm,1220mm,2440mm
