"id","stateid","name","status","created_at","updated_at"
"1","6","Delhi","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"2","18","Kerala","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"3","32","Lucknow","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"4","32","Varanasi","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"5","5","Gurgaon","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"6","20","Mumbai","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"7","27","Jaipur","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"8","10","Patna","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"9","29","Chennai","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"10","34","Kolkata","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"11","20","Nagpur","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"12","30","Adilabad","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"13","32","Agra","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"14","13"," Ahmedabad","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"15","20","Ahmednagar","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"16","27","Ajmer","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"17","20","Akluj","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"18","17","Bengaluru","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"19","11","Bastar","2","2016-02-05 00:00:00","2016-02-05 00:00:00"
"20","25","Bhubaneswar","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"21","17","Bijapur","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"22","18","Calicut","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"23","36","Chandigarh","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"24","29","Coimbatore","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"25","29","Cuddalore","2","2016-02-05 00:00:00","2022-07-27 12:14:46"
"26","33","Dehradun","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"27","11","Dhamtari","2","2016-02-05 00:00:00","2016-02-05 00:00:00"
"28","11","Durg","2","2016-02-05 00:00:00","2016-02-05 00:00:00"
"29","18","Ernakulam","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"30","5","Faridabad","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"31","32","Ghaziabad","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"32","9","Guwahati","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"33","33","Haridwar","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"34","5","Hisar","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"35","17","Hubli","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"36","30","Hyderabad(T)","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"37","19","Indore","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"38","26","Jalandhar","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"39","11","Jangirchampa","2","2016-02-05 00:00:00","2016-02-05 00:00:00"
"40","27","Jodhpur","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"41","14","Kangra","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"42","33","Kashipur","1","2016-02-05 00:00:00","2023-04-11 05:49:33"
"43","10","Katihar","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"44","18","Kochi","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"45","20","Kolhapur","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"46","32","Kosikalan","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"47","27","Kota","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"48","20","Lathur","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"49","26","Ludhiana","1","2016-02-05 00:00:00","2021-07-13 12:15:00"
"50","32","Mathura","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"51","10","Munger","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"52","10","Muzaffarpur","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"53","17","Mysore","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"54","20","Nanded (South)","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"55","20","Parbhani","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"56","26","Pathankot","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"57","40","Pondicherry","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
"58","20","Pune","1","2016-02-05 00:00:00","2016-02-05 00:00:00"
