,State,document_id,Location,Brand,Product ,Thickness,Length,Width,Ecom Price / Sheet,Additional Price,New Price,GST (18%),Price with GST,id,product_id,price,sale_price,product_size,product_thickness,product_zone,sortby,type,shipmenttype,status,stateid,cdate
,Delhi,tcj7jpgyv7u10g9ehvoukkn9,Delhi,Sainik MR,Plywood,6,8,4,1238,100,1338,240.77,1578,1,19,1338,0,24401220,6,1,1,2,0,1,1,0000-00-00 00:00:00
,Delhi,tcj7jpgyv7u10g9ehvoukkn9,Delhi,Sainik MR,Plywood,8,8,4,1548,100,1648,296.62,1944,2,19,1648,0,24401220,8,1,1,2,0,1,1,0000-00-00 00:00:00
,Delhi,tcj7jpgyv7u10g9ehvoukkn9,Delhi,Sainik MR,Plywood,12,8,4,1827,100,1927,346.94,2274,3,19,1927,0,24401220,12,1,1,2,0,1,1,0000-00-00 00:00:00
,Delhi,tcj7jpgyv7u10g9ehvoukkn9,Delhi,Sainik MR,Plywood,15,8,4,2285,100,2385,429.33,2814,4,19,2385,0,24401220,15,1,1,2,0,1,1,0000-00-00 00:00:00
,Delhi,tcj7jpgyv7u10g9ehvoukkn9,Delhi,Sainik MR,Plywood,18,8,4,2666,100,2766,497.89,3264,5,19,2766,0,24401220,18,1,1,2,0,1,1,0000-00-00 00:00:00
,Haryana,tgmp83wdxtzpwhi9ct04dx78,Gurgaon,Sainik MR,Plywood,6,8,4,1238,100,1338,240.77,1578,6,19,1338,0,24401220,6,2,1,2,0,1,2,0000-00-00 00:00:00
,Haryana,tgmp83wdxtzpwhi9ct04dx78,Gurgaon,Sainik MR,Plywood,8,8,4,1548,100,1648,296.62,1944,7,19,1648,0,24401220,8,2,1,2,0,1,2,0000-00-00 00:00:00
,Haryana,tgmp83wdxtzpwhi9ct04dx78,Gurgaon,Sainik MR,Plywood,12,8,4,1827,100,1927,346.94,2274,8,19,1927,0,24401220,12,2,1,2,0,1,2,0000-00-00 00:00:00
,Haryana,tgmp83wdxtzpwhi9ct04dx78,Gurgaon,Sainik MR,Plywood,15,8,4,2285,100,2385,429.33,2814,9,19,2385,0,24401220,15,2,1,2,0,1,2,0000-00-00 00:00:00
,Haryana,tgmp83wdxtzpwhi9ct04dx78,Gurgaon,Sainik MR,Plywood,18,8,4,2666,100,2766,497.89,3264,10,19,2766,0,24401220,18,2,1,2,0,1,2,0000-00-00 00:00:00
,UP1,xavsspxxllf5ffmdbfefhogn,Gaziabad,Sainik MR,Plywood,6,8,4,1238,100,1338,240.77,1578,11,19,1338,0,24401220,6,3,1,2,0,1,3,0000-00-00 00:00:00
,UP1,xavsspxxllf5ffmdbfefhogn,Gaziabad,Sainik MR,Plywood,8,8,4,1548,100,1648,296.62,1944,12,19,1648,0,24401220,8,3,1,2,0,1,3,0000-00-00 00:00:00
,UP1,xavsspxxllf5ffmdbfefhogn,Gaziabad,Sainik MR,Plywood,12,8,4,1827,100,1927,346.94,2274,13,19,1927,0,24401220,12,3,1,2,0,1,3,0000-00-00 00:00:00
,UP1,xavsspxxllf5ffmdbfefhogn,Gaziabad,Sainik MR,Plywood,15,8,4,2285,100,2385,429.33,2814,14,19,2385,0,24401220,15,3,1,2,0,1,3,0000-00-00 00:00:00
,UP1,xavsspxxllf5ffmdbfefhogn,Gaziabad,Sainik MR,Plywood,18,8,4,2666,100,2766,497.89,3264,15,19,2766,0,24401220,18,3,1,2,0,1,3,0000-00-00 00:00:00
,UP2,xavsspxxllf5ffmdbfefhogn,Lucknow,Sainik MR,Plywood,6,8,4,1238,100,1338,240.77,1578,16,19,1338,0,24401220,6,4,1,2,0,1,3,0000-00-00 00:00:00
,UP2,xavsspxxllf5ffmdbfefhogn,Lucknow,Sainik MR,Plywood,8,8,4,1548,100,1648,296.62,1944,17,19,1648,0,24401220,8,4,1,2,0,1,3,0000-00-00 00:00:00
,UP2,xavsspxxllf5ffmdbfefhogn,Lucknow,Sainik MR,Plywood,12,8,4,1827,100,1927,346.94,2274,18,19,1927,0,24401220,12,4,1,2,0,1,3,0000-00-00 00:00:00
,UP2,xavsspxxllf5ffmdbfefhogn,Lucknow,Sainik MR,Plywood,15,8,4,2285,100,2385,429.33,2814,19,19,2385,0,24401220,15,4,1,2,0,1,3,0000-00-00 00:00:00
,UP2,xavsspxxllf5ffmdbfefhogn,Lucknow,Sainik MR,Plywood,18,8,4,2666,100,2766,497.89,3264,20,19,2766,0,24401220,18,4,1,2,0,1,3,0000-00-00 00:00:00
