Zone,State,document_id,Location,product,category,,Thickness,Length,Width,Ecom Price / Sheet,Additional Price,New Price,GST (18%),Price with GST,id,product_id,price,sale_price,product_size,product_thickness,product_zone,sortby,type,shipmenttype,status,stateid,cdate
North,Delhi,tcj7jpgyv7u10g9ehvoukkn9,Delhi,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,6,8,4,1881,100,1981,356.6,2338,1,2,1981,0,24401220,6,1,1,2,0,1,1,0000-00-00 00:00:00
North,Delhi,tcj7jpgyv7u10g9ehvoukkn9,Delhi,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,9,8,4,2340,100,2440,439.12,2879,2,2,2440,0,24401220,9,1,1,2,0,1,1,0000-00-00 00:00:00
North,Delhi,tcj7jpgyv7u10g9ehvoukkn9,Delhi,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,12,8,4,2961,100,3061,550.92,3612,3,2,3061,0,24401220,12,1,1,2,0,1,1,0000-00-00 00:00:00
North,Delhi,tcj7jpgyv7u10g9ehvoukkn9,Delhi,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,16,8,4,3682,100,3782,680.82,4463,4,2,3782,0,24401220,16,1,1,2,0,1,1,0000-00-00 00:00:00
North,Delhi,tcj7jpgyv7u10g9ehvoukkn9,Delhi,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,19,8,4,4259,100,4359,784.64,5144,5,2,4359,0,24401220,19,1,1,2,0,1,1,0000-00-00 00:00:00
North,Haryana,tgmp83wdxtzpwhi9ct04dx78,Gurgaon,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,6,8,4,1881,100,1981,356.6,2338,6,2,1981,0,24401220,6,2,1,2,0,1,2,0000-00-00 00:00:00
North,Haryana,tgmp83wdxtzpwhi9ct04dx78,Gurgaon,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,9,8,4,2340,100,2440,439.12,2879,7,2,2440,0,24401220,9,2,1,2,0,1,2,0000-00-00 00:00:00
North,Haryana,tgmp83wdxtzpwhi9ct04dx78,Gurgaon,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,12,8,4,2961,100,3061,550.92,3612,8,2,3061,0,24401220,12,2,1,2,0,1,2,0000-00-00 00:00:00
North,Haryana,tgmp83wdxtzpwhi9ct04dx78,Gurgaon,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,16,8,4,3682,100,3782,680.82,4463,9,2,3782,0,24401220,16,2,1,2,0,1,2,0000-00-00 00:00:00
North,Haryana,tgmp83wdxtzpwhi9ct04dx78,Gurgaon,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,19,8,4,4259,100,4359,784.64,5144,10,2,4359,0,24401220,19,2,1,2,0,1,2,0000-00-00 00:00:00
North,Uttar Pradesh,xavsspxxllf5ffmdbfefhogn,Gaziabad,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,6,8,4,1881,100,1981,356.6,2338,11,2,1981,0,24401220,6,3,1,2,0,1,3,0000-00-00 00:00:00
North,Uttar Pradesh,xavsspxxllf5ffmdbfefhogn,Gaziabad,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,9,8,4,2340,100,2440,439.12,2879,12,2,2440,0,24401220,9,3,1,2,0,1,3,0000-00-00 00:00:00
North,Uttar Pradesh,xavsspxxllf5ffmdbfefhogn,Gaziabad,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,12,8,4,2961,100,3061,550.92,3612,13,2,3061,0,24401220,12,3,1,2,0,1,3,0000-00-00 00:00:00
North,Uttar Pradesh,xavsspxxllf5ffmdbfefhogn,Gaziabad,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,16,8,4,3682,100,3782,680.82,4463,14,2,3782,0,24401220,16,3,1,2,0,1,3,0000-00-00 00:00:00
North,Uttar Pradesh,xavsspxxllf5ffmdbfefhogn,Gaziabad,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,19,8,4,4259,100,4359,784.64,5144,15,2,4359,0,24401220,19,3,1,2,0,1,3,0000-00-00 00:00:00
North,Uttar Pradesh,xavsspxxllf5ffmdbfefhogn,Lucknow,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,6,8,4,1881,100,1981,356.6,2338,16,2,1981,0,24401220,6,4,1,2,0,1,3,0000-00-00 00:00:00
North,Uttar Pradesh,xavsspxxllf5ffmdbfefhogn,Lucknow,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,9,8,4,2340,100,2440,439.12,2879,17,2,2440,0,24401220,9,4,1,2,0,1,3,0000-00-00 00:00:00
North,Uttar Pradesh,xavsspxxllf5ffmdbfefhogn,Lucknow,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,12,8,4,2961,100,3061,550.92,3612,18,2,3061,0,24401220,12,4,1,2,0,1,3,0000-00-00 00:00:00
