ID,Name,cat,,model_code,alias,specs,imag,,
1372,Silvern Gc Pommelle Hz,Metallic,,NULL,"silvern-gc-pommelle-hz
",8ft. x 4ft.,silvern-gc-pommele-HZ.jpg,silvern-gc-pommele-HZ.jpg,
1373,"Silvern Na Burl

",Metallic,,NULL,"silvern-na-burl

",8ft. x 4ft.,silvern-NA-burl.jpg,silvern-NA-burl.jpg,
1374,"Bronze Ch Nut
",Metallic,,NV-B95,"bronze-ch-nut

",8ft. x 4ft.,NV-B95-bronze-ch-nut-Hz.jpg,NV-B95-bronze-ch-nut-Hz.jpg,
1375,"Bronze Es Figured
",Metallic,,NV-C18,"bronze-es-figured
",8ft. x 4ft.,NV-C18-bronze-es-figured.jpg,NV-C18-bronze-es-figured.jpg,
1376,"Silvern Nt Burl
",Metallic,,NULL,"silvern-nt-burl
",8ft. x 4ft.,silvern-nt-burl.jpg,silvern-nt-burl.jpg,
1377,"Silvern Gy Crotch
",Metallic,,NV-C02,"silvern-gy-crotch
",8ft. x 4ft.,NV-C02-silvern-gy-crotch.jpg,NV-C02-silvern-gy-crotch.jpg,
1378,"Coire Dw Crotch Hz
",Metallic,,NULL,"coire-dw-crotch-hz
",8ft. x 4ft.,COIRED-DW-CROTCH.jpg,COIRED-DW-CROTCH.jpg,
1379,"Bronze Sv Oak
",Metallic,,NV-B97,"bronze-sv-oak
",8ft. x 4ft.,NV-B97-BRONZE-SV-OAK.jpg,NV-B97-BRONZE-SV-OAK.jpg,
1380,"Coire Bn Santos
",Metallic,,NV-C15,"coire-bn-santos
",8ft. x 4ft.,NV-C15-coire-bn-santos.jpg,NV-C15-coire-bn-santos.jpg,
1381,"Silvern Gc Figured
",Metallic,,NV-B78,"silvern-gc-figured
",8ft. x 4ft.,NV-B78-silvern-gc-figured.jpg,NV-B78-silvern-gc-figured.jpg,
1382,"Bronze Sl Crown
",Metallic,,NV-C03,"bronze-sl-crown
",8ft. x 4ft.,NV-C03-bronze-sl-crown.jpg,NV-C03-bronze-sl-crown.jpg,
1383,"Silvern Dw Crotch
",Metallic,,NV-B80,silvern-dw-crotch,8ft. x 4ft.,NV-B80-silvern-dw-crotch.jpg,NV-B80-silvern-dw-crotch.jpg,
1384,"Silvern Nt Crotch
",Metallic,,NV-C06,"silvern-nt-crotch
",8ft. x 4ft.,NV-C06-silvern-nt-crotch.jpg,NV-C06-silvern-nt-crotch.jpg,
1385,Silvern Teca Wood,Metallic,,NULL,"silvern-teca-wood
",8ft. x 4ft.,silvern-teca-wood.jpg,silvern-teca-wood.jpg,
1386,Silvern Cs Sia,Metallic,,NULL,"silvern-cs-sia
",8ft. x 4ft.,silvern-cs-sia.jpg,silvern-cs-sia.jpg,
1387,Coire Ey Red,Metallic,,NULL,"coire-ey-red
",8ft. x 4ft.,COIRED-EY-RED.jpg,COIRED-EY-RED.jpg,
1388,Coire Teca Crotch,Metallic,,NULL,"coire-teca-crotch
",8ft. x 4ft.,COIRED-TECH-CROTCH.jpg,COIRED-TECH-CROTCH.jpg,
1389,Silvern Sr Figured,Metallic,,NV-B84,"silvern-sr-figured
",8ft. x 4ft.,NV-B84-silvern-sr-figured.jpg,NV-B84-silvern-sr-figured.jpg,
1390,Bronze Sv Oak Hz,Metallic,,NULL,bronze-sv-oak-hz,8ft. x 4ft.,Bronze-SV-Oak-Hz.jpg,Bronze-SV-Oak-Hz.jpg,
1391,Silvern Es Figured,Metallic,,NV-C17,silvern-es-figured,8ft. x 4ft.,NV-C17-silvern-es-figured.jpg,NV-C17-silvern-es-figured.jpg,
1392,Silvern El Burl,Metallic,,NULL,silvern-el-burl,8ft. x 4ft.,Silvern-EL-Burl.jpg,Silvern-EL-Burl.jpg,
1393,Coire Em Burl,Metallic,,NV-B77,coire-em-burl,8ft. x 4ft.,NV-B77-COIRE-EM-BURL.jpg,NV-B77-COIRE-EM-BURL.jpg,
1394,Silvern Dw Crotch Hz,Metallic,,NULL,silvern-dw-crotch-hz,8ft. x 4ft.,Silvern-DW-Crotch-Hz.jpg,Silvern-DW-Crotch-Hz.jpg,
1395,Silvern Gc Pommelle,Metallic,,NV-B72,silvern-gc-pommelle,8ft. x 4ft.,NV-B72-silvern-gc-pommele.jpg,NV-B72-silvern-gc-pommele.jpg,
1396,Coire Dw Crotch,Metallic,,NV-B79,coire-dw-crotch,8ft. x 4ft.,NV-B79-COIRE-DW-CROTCH.jpg,NV-B79-COIRE-DW-CROTCH.jpg,
1397,Bronze Gc Pommelle,Metallic,,NV-B99,bronze-gc-pommelle,8ft. x 4ft.,NV-B99-BRONZE-GC-Pommelle.jpg,NV-B99-BRONZE-GC-Pommelle.jpg,
1398,Silvern Em Burl,Metallic,,NV-B76,silvern-em-burl,8ft. x 4ft.,NV-B76-silvern-em-burl.jpg,NV-B76-silvern-em-burl.jpg,
1399,Silvern Rv Oak,Metallic,,NULL,silvern-rv-oak,8ft. x 4ft.,Silvern-RV-Oak.jpg,Silvern-RV-Oak.jpg,
1400,Coire Ak Burl,Metallic,,NV-B74,coire-ak-burl,8ft. x 4ft.,NV-B74-COIRE-AK-BURL.jpg,NV-B74-COIRE-AK-BURL.jpg,
1401,Coire Nl Figured,Metallic,,NV-C19,coire-nl-figured,8ft. x 4ft.,NV-C19-coire-nl-figured.jpg,NV-C19-coire-nl-figured.jpg,
1402,Bronze Nt Crotch,Metallic,,NV-B98,bronze-nt-crotch,8ft. x 4ft.,NV-B98-BRONZE-NT-CROTCH.jpg,NV-B98-BRONZE-NT-CROTCH.jpg,
1403,Coire Sp Pommelle,Metallic,,NV-B83,coire-sp-pommelle,8ft. x 4ft.,NV-B83-COIRE-SP-Pommelle.jpg,NV-B83-COIRE-SP-Pommelle.jpg,
1404,Silvern Gc Figured Hz,Metallic,,NULL,silvern-gc-figured-hz,8ft. x 4ft.,Silvern-GC-Figured-Hz.jpg,Silvern-GC-Figured-Hz.jpg,
1405,Silvern Ak Cluster,Metallic,,NULL,silvern-ak-cluster,8ft. x 4ft.,Silvern-AK-Cluster.jpg,Silvern-AK-Cluster.jpg,
1406,Hz. Silvern Gy Crotch,Metallic,,NULL,hz.-silvern-gy-crotch,8ft. x 4ft.,Hz.-Silvern-GY-Crotch.jpg,Hz.-Silvern-GY-Crotch.jpg,
1407,Silvern An Maple,Metallic,,NULL,silvern-an-maple,8ft. x 4ft.,Silvern-AN-Maple.jpg,Silvern-AN-Maple.jpg,
1408,Bronze Kt Pine,Metallic,,NULL,bronze-kt-pine,8ft. x 4ft.,Bronze-KT-Pine.jpg,Bronze-KT-Pine.jpg,
1409,Silvern Ak Burl,Metallic,,NULL,silvern-ak-burl,8ft. x 4ft.,Silvern-AK-Burl.jpg,Silvern-AK-Burl.jpg,
1410,Silvern Gn Maple,Metallic,,NV-C33,silvern-gn-maple,8ft. x 4ft.,NV-C33-silvern-gn-maple.jpg,NV-C33-silvern-gn-maple.jpg,
1411,"Silvern Ah Figured
",Metallic,,NV-C32,"silvern-ah-figured
",8ft. x 4ft.,NV-C32-silvern-ah-figured.jpg,NV-C32-silvern-ah-figured.jpg,
1412,Coire Rc Crotch,Metallic,,NV-D43,coire-rc-crotch,8ft. x 4ft.,NV-D43-coire-rc-crotch.jpg,NV-D43-coire-rc-crotch.jpg,
1413,Coire Tn Wood,Metallic,,NV-C92,coire-tn-wood,8ft. x 4ft.,NV-C92-coire-tn-wood.jpg,NV-C92-coire-tn-wood.jpg,
1414,Afro Bark,Mystique,,NV-534,afro-bark,8ft. x 4ft.,NV-534-Afro-Bark.jpg,NV-534-Afro-Bark.jpg,
1415,Antique Tree,Mystique,,NULL,antique-tree,8ft. x 4ft.,mystique-antique-tree-small.jpg,mystique-antique-tree-large.jpg,
1416,Bark Burn,Mystique,,NV-450,bark-burn,8ft. x 4ft.,NV-450-Bark-burn.jpg,NV-450-Bark-burn.jpg,
1417,Black Diamond Oak,Mystique,,NULL,black-diamond-oak,8ft. x 4ft.,mystique-black-diamond-oak-small.jpg,mystique-black-diamond-oak.jpg,
1418,Blush Wood,Mystique,,NULL,blush-wood,8ft. x 4ft.,,,
1419,Caramel Dusk,Mystique,,NULL,caramel-dusk,8ft. x 4ft.,mystique-caramel-dusk-small.jpg,mystique-caramel-dusk-large.jpg,
1420,Castanea Rays,Mystique,,NV-632,castanea-rays,8ft. x 4ft.,NV-632-Castanea-Rays.jpg,NV-632-Castanea-Rays.jpg,
1421,Choco Lure,Mystique,,NV-510,choco-lure,8ft. x 4ft.,NV-510-Choco-Lure.jpg,NV-510-Choco-Lure.jpg,
1422,Coco Flame,Mystique,,NULL,coco-flame,8ft. x 4ft.,,,
1423,Dark Bean,Mystique,,NV-438,dark-bean,8ft. x 4ft.,NV-438-Dark-Bean.jpg,NV-438-Dark-Bean.jpg,
1424,Dark Diva,Mystique,,NV-490,dark-diva,8ft. x 4ft.,NV-490-Dark-Diva.jpg,NV-490-Dark-Diva.jpg,
1425,Deep Grain,Mystique,,NV-439,deep-grain,8ft. x 4ft.,NV-439-Deep-Grain.jpg,NV-439-Deep-Grain.jpg,
1426,Desert Storm,Mystique,,NV-602,desert-storm,8ft. x 4ft.,NV-602-Desert-Storm.jpg,NV-602-Desert-Storm.jpg,
1427,Dusk Dew,Mystique,,NV-451,dusk-dew,8ft. x 4ft.,NV-451-Dusk-Dew.jpg,NV-451-Dusk-Dew.jpg,
1428,Hazelwood,Mystique,,NV-545,hazelwood,8ft. x 4ft.,NV-545-Hazelwood.jpg,NV-545-Hazelwood.jpg,
1429,Inferno,Mystique,,NV-605,inferno,8ft. x 4ft.,NV-605-Inferno.jpg,NV-605-Inferno.jpg,
1430,Mellon Dew,Mystique,,NV-555,mellon-dew,8ft. x 4ft.,NV-555-Mellon-Dew.jpg,NV-555-Mellon-Dew.jpg,
1431,Mirage,Mystique,,NV-600,mirage,8ft. x 4ft.,NV-600-Mirage.jpg,NV-600-Mirage.jpg,
1432,Molten Chocolate,Mystique,,NV-564,molten-chocolate,8ft. x 4ft.,NV-564-Molten-Chocolate.jpg,NV-564-Molten-Chocolate.jpg,
1433,Natural Bark,Mystique,,NULL,natural-bark,8ft. x 4ft.,,,
1434,Oak Albura,Mystique,,NULL,oak-albura,8ft. x 4ft.,mystique-oak-albura-small.jpg,mystique-oak-albura-large.jpg,
1435,Oak Dew,Mystique,,NV-763,oak-dew,8ft. x 4ft.,NV-763-Oak-Dew.jpg,NV-763-Oak-Dew.jpg,
1436,Oak Granito,Mystique,,NULL,oak-granito,8ft. x 4ft.,mystique-oak-granito-small.jpg,mystique-oak-granito-large.jpg,
1437,Roadenza,Mystique,,NV-571,roadenza,8ft. x 4ft.,NV-571-Roadenza.jpg,NV-571-Roadenza.jpg,
1438,Satinox,Mystique,,NV-440,satinox,8ft. x 4ft.,NV-440-Satinox.jpg,NV-440-Satinox.jpg,
1439,Silky Sheen,Mystique,,NV-491,silky-sheen,8ft. x 4ft.,NV-491-Silky-Sheen.jpg,NV-491-Silky-Sheen.jpg,
