parent_category,ancaster_category,child_category,sub_child_category,new,name,model_code,short_description,description,display_on_eshop,specs,attributes,alias,created_by_id,updated_by_id
Lookbook,Laminates,STONE VENEER,Slate,Y,Calacatta Marble,5847 SL,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,STONE VENEER,Slate,Y,Onyx,5891 SL,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,STONE VENEER,Slate,Y,Moonlight Marble,5845 SL,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,STONE VENEER,Slate,Y,Royal Marble,5846 SL,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,STONE VENEER,Slate,,SAGRADA MARBLE,3852 SL,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,STONE VENEER,Slate,,GOTHIC MARBLE,3853 SL,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,STONE VENEER,Slate,Y,Saturno Marble,5848 SL,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,STONE VENEER,Slate,Y,Rustic Stone,5837 SL,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,STONE VENEER,Slate,Y,Vintage Stone,5836 SL,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,STONE VENEER,Slate,,BARK STONE,3836 SL,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,STONE VENEER,Slate,Y,Khabi Tiles,5881 SL,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,STONE VENEER,Stone Veneer,Y,Arctic Blue,3245 SO,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,STONE VENEER,Stone Veneer,Y,BEIGE,163 SO,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,STONE VENEER,Stone Veneer,Y,MADDY MUSHROOM,172 SO,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,STONE VENEER,Stone Veneer,Y,Punch,153 SO,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,STONE VENEER,Stone Veneer,Y,FROSTY WHITE,111 SO,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,STONE VENEER,Stone Veneer,Y,WHITE MARBLE,3846 SO,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,STONE VENEER,Stone Veneer,Y,BLACK,293 SO,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,STONE VENEER,Stone Veneer,Y,SHOREA MAHOGANY,3961 SO,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,STONE VENEER,Stone Veneer,Y,Gothic Grey,224 SO,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,Premium Textures,Geometry,Y,Classy Wine,3142 GC,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,Premium Textures,Geometry,Y,Smoke Green,3284 GC,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,Premium Textures,Geometry,Y,Emerald Green,3285 GC,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,Premium Textures,Geometry,Y,FROSTY WHITE,111 GC,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,Premium Textures,Geometry,Y,Silica Grey,3238 GC,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,Premium Textures,Geometry,Y,Brazilian Sand,168 GC,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,Premium Textures,Geometry,Y,Pebble Ivory,131 GC,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,Premium Textures,Geometry,Y,Black,293 GC,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,Premium Textures,Geometry,Y,Mudpie,3171 GC,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,Premium Textures,Rattan,Y,Classy Wine,3142 RA,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,Premium Textures,Rattan,Y,Arctic Blue,3245 RA,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,Premium Textures,Rattan,Y,Flint,3246 RA,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,Premium Textures,Rattan,Y,Punch,153 RA,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,Premium Textures,Rattan,Y,TAUPE,158 RA,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,Premium Textures,Rattan,Y,Silica Grey,3238 RA,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,Premium Textures,Rattan,Y,BLACK,293 RA,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,Premium Textures,Rattan,Y,LIGHT BEIGE,161 RA,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,Premium Textures,Rattan,Y,Brazilian Sand,168 RA,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,Premium Textures,Louvers,Y,GOTHIC MARBLE,3853 LV,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,Premium Textures,Louvers,Y,SIERRA MARBLE,3854 LV,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,Premium Textures,Louvers,,SAGRADA MARBLE,3852 LV,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,Premium Textures,Louvers,,HARLEY REYRA,94846 LV,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,Premium Textures,Louvers,,Flint,3246 LV,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,Premium Textures,Louvers,,Arctic Blue,3245 LV,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,Premium Textures,Louvers,,Rose Pink,152 LV,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,Premium Textures,Louvers,,FROSTY WHITE,111 LV,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,Premium Textures,Louvers,,BLACK,293 LV,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,Premium Textures,Louvers,,Brazilian Sand,168 LV,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,Premium Textures,Louvers,,INDIANA HICKORY,4517 LV,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,Premium Textures,Louvers,,JACKSON HICKORY,4516 LV,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,Premium Textures,Nature Plus,,NATURE ASH,2593 NP,short_description text write ,description text  write ,YES,1.00mm,,,,
Lookbook,Laminates,Premium Textures,Nature Plus,,ISEDA ASH,2592 NP,short_description text write ,description text  write ,YES,1.00mm,,,,
